path,seed,policy,review_ticks,tick,eligible,historical_choice,stable_sum_choice,changed
artifacts/stage3_competition/run/309/s1/fcfs/events.jsonl,309,fcfs,1,6,3,a0j1,a0j1,False
artifacts/stage3_competition/run/309/s1/fcfs/events.jsonl,309,fcfs,1,7,2,a2j1,a2j1,False
artifacts/stage3_competition/run/309/s1/fcfs/events.jsonl,309,fcfs,1,8,0,,,False
artifacts/stage3_competition/run/309/s1/fcfs/events.jsonl,309,fcfs,1,9,0,,,False
artifacts/stage3_competition/run/309/s1/fcfs/events.jsonl,309,fcfs,1,10,0,,,False
artifacts/stage3_competition/run/309/s1/fcfs/events.jsonl,309,fcfs,1,11,0,,,False
artifacts/stage3_competition/run/309/s1/greedy/events.jsonl,309,greedy,1,0,3,a1j0,a0j0,True
artifacts/stage3_competition/run/309/s1/greedy/events.jsonl,309,greedy,1,1,2,a0j0,a0j0,False
artifacts/stage3_competition/run/309/s1/greedy/events.jsonl,309,greedy,1,2,1,a0j0,a0j0,False
artifacts/stage3_competition/run/309/s1/greedy/events.jsonl,309,greedy,1,3,0,,,False
artifacts/stage3_competition/run/309/s1/greedy/events.jsonl,309,greedy,1,4,0,,,False
artifacts/stage3_competition/run/309/s1/greedy/events.jsonl,309,greedy,1,5,0,,,False
artifacts/stage3_competition/run/309/s1/greedy/events.jsonl,309,greedy,1,6,3,a0j1,a0j1,False
artifacts/stage3_competition/run/309/s1/greedy/events.jsonl,309,greedy,1,7,2,a2j1,a2j1,False
artifacts/stage3_competition/run/309/s1/greedy/events.jsonl,309,greedy,1,8,0,,,False
artifacts/stage3_competition/run/309/s1/greedy/events.jsonl,309,greedy,1,9,0,,,False
artifacts/stage3_competition/run/309/s1/greedy/events.jsonl,309,greedy,1,10,0,,,False
artifacts/stage3_competition/run/309/s1/greedy/events.jsonl,309,greedy,1,11,0,,,False
artifacts/stage3_competition/run/309/s1/myopic/events.jsonl,309,myopic,1,0,3,a1j0,a0j0,True
artifacts/stage3_competition/run/309/s1/myopic/events.jsonl,309,myopic,1,1,2,a0j0,a0j0,False
artifacts/stage3_competition/run/309/s1/myopic/events.jsonl,309,myopic,1,2,1,a0j0,a0j0,False
artifacts/stage3_competition/run/309/s1/myopic/events.jsonl,309,myopic,1,3,0,,,False
artifacts/stage3_competition/run/309/s1/myopic/events.jsonl,309,myopic,1,4,0,,,False
artifacts/stage3_competition/run/309/s1/myopic/events.jsonl,309,myopic,1,5,0,,,False
artifacts/stage3_competition/run/309/s1/myopic/events.jsonl,309,myopic,1,6,3,a0j1,a0j1,False
artifacts/stage3_competition/run/309/s1/myopic/events.jsonl,309,myopic,1,7,2,a2j1,a2j1,False
artifacts/stage3_competition/run/309/s1/myopic/events.jsonl,309,myopic,1,8,0,,,False
artifacts/stage3_competition/run/309/s1/myopic/events.jsonl,309,myopic,1,9,0,,,False
artifacts/stage3_competition/run/309/s1/myopic/events.jsonl,309,myopic,1,10,0,,,False
artifacts/stage3_competition/run/309/s1/myopic/events.jsonl,309,myopic,1,11,0,,,False
artifacts/stage3_competition/run/309/s1/uncertainty/events.jsonl,309,uncertainty,1,0,3,a1j0,a0j0,True
artifacts/stage3_competition/run/309/s1/uncertainty/events.jsonl,309,uncertainty,1,1,2,a2j0,a2j0,False
artifacts/stage3_competition/run/309/s1/uncertainty/events.jsonl,309,uncertainty,1,2,0,,,False
artifacts/stage3_competition/run/309/s1/uncertainty/events.jsonl,309,uncertainty,1,3,0,,,False
artifacts/stage3_competition/run/309/s1/uncertainty/events.jsonl,309,uncertainty,1,4,0,,,False
artifacts/stage3_competition/run/309/s1/uncertainty/events.jsonl,309,uncertainty,1,5,0,,,False
artifacts/stage3_competition/run/309/s1/uncertainty/events.jsonl,309,uncertainty,1,6,3,a0j1,a0j1,False
artifacts/stage3_competition/run/309/s1/uncertainty/events.jsonl,309,uncertainty,1,7,2,a0j1,a0j1,False
artifacts/stage3_competition/run/309/s1/uncertainty/events.jsonl,309,uncertainty,1,8,1,a1j1,a1j1,False
artifacts/stage3_competition/run/309/s1/uncertainty/events.jsonl,309,uncertainty,1,9,0,,,False
artifacts/stage3_competition/run/309/s1/uncertainty/events.jsonl,309,uncertainty,1,10,0,,,False
artifacts/stage3_competition/run/309/s1/uncertainty/events.jsonl,309,uncertainty,1,11,0,,,False
artifacts/stage3_competition/run/309/s2/delay/events.jsonl,309,delay,2,0,3,a2j0,a2j0,False
artifacts/stage3_competition/run/309/s2/delay/events.jsonl,309,delay,2,2,2,a1j0,a1j0,False
artifacts/stage3_competition/run/309/s2/delay/events.jsonl,309,delay,2,4,0,,,False
artifacts/stage3_competition/run/309/s2/delay/events.jsonl,309,delay,2,5,0,,,False
artifacts/stage3_competition/run/309/s2/delay/events.jsonl,309,delay,2,6,3,a0j1,a0j1,False
artifacts/stage3_competition/run/309/s2/delay/events.jsonl,309,delay,2,8,1,a1j1,a1j1,False
artifacts/stage3_competition/run/309/s2/delay/events.jsonl,309,delay,2,10,0,,,False
artifacts/stage3_competition/run/309/s2/delay/events.jsonl,309,delay,2,11,0,,,False
artifacts/stage3_competition/run/309/s2/edf/events.jsonl,309,edf,2,0,3,a2j0,a2j0,False
artifacts/stage3_competition/run/309/s2/edf/events.jsonl,309,edf,2,2,2,a1j0,a1j0,False
artifacts/stage3_competition/run/309/s2/edf/events.jsonl,309,edf,2,4,0,,,False
artifacts/stage3_competition/run/309/s2/edf/events.jsonl,309,edf,2,5,0,,,False
artifacts/stage3_competition/run/309/s2/edf/events.jsonl,309,edf,2,6,3,a0j1,a0j1,False
artifacts/stage3_competition/run/309/s2/edf/events.jsonl,309,edf,2,8,2,a0j1,a0j1,False
artifacts/stage3_competition/run/309/s2/edf/events.jsonl,309,edf,2,10,0,,,False
artifacts/stage3_competition/run/309/s2/edf/events.jsonl,309,edf,2,11,0,,,False
artifacts/stage3_competition/run/309/s2/fcfs/events.jsonl,309,fcfs,2,0,3,a2j0,a2j0,False
artifacts/stage3_competition/run/309/s2/fcfs/events.jsonl,309,fcfs,2,2,1,a1j0,a1j0,False
artifacts/stage3_competition/run/309/s2/fcfs/events.jsonl,309,fcfs,2,4,0,,,False
artifacts/stage3_competition/run/309/s2/fcfs/events.jsonl,309,fcfs,2,5,0,,,False
artifacts/stage3_competition/run/309/s2/fcfs/events.jsonl,309,fcfs,2,6,3,a0j1,a0j1,False
artifacts/stage3_competition/run/309/s2/fcfs/events.jsonl,309,fcfs,2,8,1,a1j1,a1j1,False
artifacts/stage3_competition/run/309/s2/fcfs/events.jsonl,309,fcfs,2,10,0,,,False
artifacts/stage3_competition/run/309/s2/fcfs/events.jsonl,309,fcfs,2,11,0,,,False
artifacts/stage3_competition/run/309/s2/greedy/events.jsonl,309,greedy,2,0,3,a2j0,a2j0,False
artifacts/stage3_competition/run/309/s2/greedy/events.jsonl,309,greedy,2,2,2,a1j0,a1j0,False
artifacts/stage3_competition/run/309/s2/greedy/events.jsonl,309,greedy,2,4,0,,,False
artifacts/stage3_competition/run/309/s2/greedy/events.jsonl,309,greedy,2,5,0,,,False
artifacts/stage3_competition/run/309/s2/greedy/events.jsonl,309,greedy,2,6,3,a0j1,a0j1,False
artifacts/stage3_competition/run/309/s2/greedy/events.jsonl,309,greedy,2,8,1,a1j1,a1j1,False
artifacts/stage3_competition/run/309/s2/greedy/events.jsonl,309,greedy,2,10,0,,,False
artifacts/stage3_competition/run/309/s2/greedy/events.jsonl,309,greedy,2,11,0,,,False
artifacts/stage3_competition/run/309/s2/myopic/events.jsonl,309,myopic,2,0,3,a2j0,a2j0,False
artifacts/stage3_competition/run/309/s2/myopic/events.jsonl,309,myopic,2,2,2,a1j0,a1j0,False
artifacts/stage3_competition/run/309/s2/myopic/events.jsonl,309,myopic,2,4,0,,,False
artifacts/stage3_competition/run/309/s2/myopic/events.jsonl,309,myopic,2,5,0,,,False
artifacts/stage3_competition/run/309/s2/myopic/events.jsonl,309,myopic,2,6,3,a0j1,a0j1,False
artifacts/stage3_competition/run/309/s2/myopic/events.jsonl,309,myopic,2,8,1,a1j1,a1j1,False
artifacts/stage3_competition/run/309/s2/myopic/events.jsonl,309,myopic,2,10,0,,,False
artifacts/stage3_competition/run/309/s2/myopic/events.jsonl,309,myopic,2,11,0,,,False
artifacts/stage3_competition/run/309/s2/uncertainty/events.jsonl,309,uncertainty,2,0,3,a2j0,a2j0,False
artifacts/stage3_competition/run/309/s2/uncertainty/events.jsonl,309,uncertainty,2,2,1,a1j0,a1j0,False
artifacts/stage3_competition/run/309/s2/uncertainty/events.jsonl,309,uncertainty,2,4,0,,,False
artifacts/stage3_competition/run/309/s2/uncertainty/events.jsonl,309,uncertainty,2,5,0,,,False
artifacts/stage3_competition/run/309/s2/uncertainty/events.jsonl,309,uncertainty,2,6,3,a0j1,a0j1,False
artifacts/stage3_competition/run/309/s2/uncertainty/events.jsonl,309,uncertainty,2,8,2,a0j1,a0j1,False
artifacts/stage3_competition/run/309/s2/uncertainty/events.jsonl,309,uncertainty,2,10,0,,,False
artifacts/stage3_competition/run/309/s2/uncertainty/events.jsonl,309,uncertainty,2,11,0,,,False
artifacts/stage3_competition/run/310/s1/delay/events.jsonl,310,delay,1,0,3,a0j0,a0j0,False
artifacts/stage3_competition/run/310/s1/delay/events.jsonl,310,delay,1,1,2,a2j0,a2j0,False
artifacts/stage3_competition/run/310/s1/delay/events.jsonl,310,delay,1,2,1,a1j0,a1j0,False
artifacts/stage3_competition/run/310/s1/delay/events.jsonl,310,delay,1,3,0,,,False
artifacts/stage3_competition/run/310/s1/delay/events.jsonl,310,delay,1,4,0,,,False
artifacts/stage3_competition/run/310/s1/delay/events.jsonl,310,delay,1,5,0,,,False
artifacts/stage3_competition/run/310/s1/delay/events.jsonl,310,delay,1,6,3,a0j1,a0j1,False
artifacts/stage3_competition/run/310/s1/delay/events.jsonl,310,delay,1,7,2,a1j1,a1j1,False
artifacts/stage3_competition/run/310/s1/delay/events.jsonl,310,delay,1,8,1,a2j1,a2j1,False
artifacts/stage3_competition/run/310/s1/delay/events.jsonl,310,delay,1,9,0,,,False
artifacts/stage3_competition/run/310/s1/delay/events.jsonl,310,delay,1,10,0,,,False
artifacts/stage3_competition/run/310/s1/delay/events.jsonl,310,delay,1,11,0,,,False
artifacts/stage3_competition/run/310/s1/edf/events.jsonl,310,edf,1,0,3,a0j0,a0j0,False
artifacts/stage3_competition/run/310/s1/edf/events.jsonl,310,edf,1,1,2,a0j0,a0j0,False
artifacts/stage3_competition/run/310/s1/edf/events.jsonl,310,edf,1,2,1,a0j0,a0j0,False
artifacts/stage3_competition/run/310/s1/edf/events.jsonl,310,edf,1,3,0,,,False
artifacts/stage3_competition/run/310/s1/edf/events.jsonl,310,edf,1,4,0,,,False
artifacts/stage3_competition/run/310/s1/edf/events.jsonl,310,edf,1,5,0,,,False
artifacts/stage3_competition/run/310/s1/edf/events.jsonl,310,edf,1,6,3,a0j1,a0j1,False
artifacts/stage3_competition/run/310/s1/edf/events.jsonl,310,edf,1,7,2,a0j1,a0j1,False
artifacts/stage3_competition/run/310/s1/edf/events.jsonl,310,edf,1,8,1,a2j1,a2j1,False
artifacts/stage3_competition/run/310/s1/edf/events.jsonl,310,edf,1,9,0,,,False
artifacts/stage3_competition/run/310/s1/edf/events.jsonl,310,edf,1,10,0,,,False
artifacts/stage3_competition/run/310/s1/edf/events.jsonl,310,edf,1,11,0,,,False
artifacts/stage3_competition/run/310/s1/fcfs/events.jsonl,310,fcfs,1,0,3,a0j0,a0j0,False
artifacts/stage3_competition/run/310/s1/fcfs/events.jsonl,310,fcfs,1,1,2,a2j0,a2j0,False
artifacts/stage3_competition/run/310/s1/fcfs/events.jsonl,310,fcfs,1,2,0,,,False
artifacts/stage3_competition/run/310/s1/fcfs/events.jsonl,310,fcfs,1,3,0,,,False
artifacts/stage3_competition/run/310/s1/fcfs/events.jsonl,310,fcfs,1,4,0,,,False
artifacts/stage3_competition/run/310/s1/fcfs/events.jsonl,310,fcfs,1,5,0,,,False
artifacts/stage3_competition/run/310/s1/fcfs/events.jsonl,310,fcfs,1,6,3,a0j1,a0j1,False
artifacts/stage3_competition/run/310/s1/fcfs/events.jsonl,310,fcfs,1,7,2,a1j1,a1j1,False
artifacts/stage3_competition/run/310/s1/fcfs/events.jsonl,310,fcfs,1,8,1,a2j1,a2j1,False
artifacts/stage3_competition/run/310/s1/fcfs/events.jsonl,310,fcfs,1,9,0,,,False
artifacts/stage3_competition/run/310/s1/fcfs/events.jsonl,310,fcfs,1,10,0,,,False
artifacts/stage3_competition/run/310/s1/fcfs/events.jsonl,310,fcfs,1,11,0,,,False
artifacts/stage3_competition/run/310/s1/greedy/events.jsonl,310,greedy,1,0,3,a0j0,a0j0,False
artifacts/stage3_competition/run/310/s1/greedy/events.jsonl,310,greedy,1,1,2,a2j0,a2j0,False
artifacts/stage3_competition/run/310/s1/greedy/events.jsonl,310,greedy,1,2,1,a0j0,a0j0,False
artifacts/stage3_competition/run/310/s1/greedy/events.jsonl,310,greedy,1,3,0,,,False
artifacts/stage3_competition/run/310/s1/greedy/events.jsonl,310,greedy,1,4,0,,,False
artifacts/stage3_competition/run/310/s1/greedy/events.jsonl,310,greedy,1,5,0,,,False
artifacts/stage3_competition/run/310/s1/greedy/events.jsonl,310,greedy,1,6,3,a0j1,a0j1,False
artifacts/stage3_competition/run/310/s1/greedy/events.jsonl,310,greedy,1,7,2,a1j1,a1j1,False
artifacts/stage3_competition/run/310/s1/greedy/events.jsonl,310,greedy,1,8,1,a2j1,a2j1,False
artifacts/stage3_competition/run/310/s1/greedy/events.jsonl,310,greedy,1,9,0,,,False
artifacts/stage3_competition/run/310/s1/greedy/events.jsonl,310,greedy,1,10,0,,,False
artifacts/stage3_competition/run/310/s1/greedy/events.jsonl,310,greedy,1,11,0,,,False
artifacts/stage3_competition/run/310/s1/myopic/events.jsonl,310,myopic,1,0,3,a0j0,a0j0,False
artifacts/stage3_competition/run/310/s1/myopic/events.jsonl,310,myopic,1,1,2,a2j0,a2j0,False
artifacts/stage3_competition/run/310/s1/myopic/events.jsonl,310,myopic,1,2,1,a0j0,a0j0,False
artifacts/stage3_competition/run/310/s1/myopic/events.jsonl,310,myopic,1,3,0,,,False
artifacts/stage3_competition/run/310/s1/myopic/events.jsonl,310,myopic,1,4,0,,,False
artifacts/stage3_competition/run/310/s1/myopic/events.jsonl,310,myopic,1,5,0,,,False
artifacts/stage3_competition/run/310/s1/myopic/events.jsonl,310,myopic,1,6,3,a0j1,a0j1,False
artifacts/stage3_competition/run/310/s1/myopic/events.jsonl,310,myopic,1,7,2,a1j1,a1j1,False
artifacts/stage3_competition/run/310/s1/myopic/events.jsonl,310,myopic,1,8,1,a2j1,a2j1,False
artifacts/stage3_competition/run/310/s1/myopic/events.jsonl,310,myopic,1,9,0,,,False
artifacts/stage3_competition/run/310/s1/myopic/events.jsonl,310,myopic,1,10,0,,,False
artifacts/stage3_competition/run/310/s1/myopic/events.jsonl,310,myopic,1,11,0,,,False
artifacts/stage3_competition/run/310/s1/uncertainty/events.jsonl,310,uncertainty,1,0,3,a0j0,a0j0,False
artifacts/stage3_competition/run/310/s1/uncertainty/events.jsonl,310,uncertainty,1,1,2,a2j0,a2j0,False
artifacts/stage3_competition/run/310/s1/uncertainty/events.jsonl,310,uncertainty,1,2,0,,,False
artifacts/stage3_competition/run/310/s1/uncertainty/events.jsonl,310,uncertainty,1,3,0,,,False
artifacts/stage3_competition/run/310/s1/uncertainty/events.jsonl,310,uncertainty,1,4,0,,,False
artifacts/stage3_competition/run/310/s1/uncertainty/events.jsonl,310,uncertainty,1,5,0,,,False
artifacts/stage3_competition/run/310/s1/uncertainty/events.jsonl,310,uncertainty,1,6,3,a0j1,a0j1,False
artifacts/stage3_competition/run/310/s1/uncertainty/events.jsonl,310,uncertainty,1,7,2,a1j1,a1j1,False
artifacts/stage3_competition/run/310/s1/uncertainty/events.jsonl,310,uncertainty,1,8,1,a2j1,a2j1,False
artifacts/stage3_competition/run/310/s1/uncertainty/events.jsonl,310,uncertainty,1,9,0,,,False
artifacts/stage3_competition/run/310/s1/uncertainty/events.jsonl,310,uncertainty,1,10,0,,,False
artifacts/stage3_competition/run/310/s1/uncertainty/events.jsonl,310,uncertainty,1,11,0,,,False
artifacts/stage3_competition/run/310/s2/delay/events.jsonl,310,delay,2,0,3,a2j0,a2j0,False
artifacts/stage3_competition/run/310/s2/delay/events.jsonl,310,delay,2,2,2,a1j0,a1j0,False
artifacts/stage3_competition/run/310/s2/delay/events.jsonl,310,delay,2,4,0,,,False
artifacts/stage3_competition/run/310/s2/delay/events.jsonl,310,delay,2,5,0,,,False
artifacts/stage3_competition/run/310/s2/delay/events.jsonl,310,delay,2,6,3,a1j1,a1j1,False
artifacts/stage3_competition/run/310/s2/delay/events.jsonl,310,delay,2,8,2,a0j1,a0j1,False
artifacts/stage3_competition/run/310/s2/delay/events.jsonl,310,delay,2,10,0,,,False
artifacts/stage3_competition/run/310/s2/delay/events.jsonl,310,delay,2,11,0,,,False
artifacts/stage3_competition/run/310/s2/edf/events.jsonl,310,edf,2,0,3,a2j0,a2j0,False
artifacts/stage3_competition/run/310/s2/edf/events.jsonl,310,edf,2,2,2,a1j0,a1j0,False
artifacts/stage3_competition/run/310/s2/edf/events.jsonl,310,edf,2,4,0,,,False
artifacts/stage3_competition/run/310/s2/edf/events.jsonl,310,edf,2,5,0,,,False
artifacts/stage3_competition/run/310/s2/edf/events.jsonl,310,edf,2,6,3,a1j1,a1j1,False
artifacts/stage3_competition/run/310/s2/edf/events.jsonl,310,edf,2,8,2,a0j1,a0j1,False
artifacts/stage3_competition/run/310/s2/edf/events.jsonl,310,edf,2,10,0,,,False
artifacts/stage3_competition/run/310/s2/edf/events.jsonl,310,edf,2,11,0,,,False
artifacts/stage3_competition/run/310/s2/fcfs/events.jsonl,310,fcfs,2,0,3,a2j0,a2j0,False
artifacts/stage3_competition/run/310/s2/fcfs/events.jsonl,310,fcfs,2,2,1,a1j0,a1j0,False
artifacts/stage3_competition/run/310/s2/fcfs/events.jsonl,310,fcfs,2,4,0,,,False
artifacts/stage3_competition/run/310/s2/fcfs/events.jsonl,310,fcfs,2,5,0,,,False
artifacts/stage3_competition/run/310/s2/fcfs/events.jsonl,310,fcfs,2,6,3,a1j1,a1j1,False
artifacts/stage3_competition/run/310/s2/fcfs/events.jsonl,310,fcfs,2,8,1,a2j1,a2j1,False
artifacts/stage3_competition/run/310/s2/fcfs/events.jsonl,310,fcfs,2,10,0,,,False
artifacts/stage3_competition/run/310/s2/fcfs/events.jsonl,310,fcfs,2,11,0,,,False
artifacts/stage3_competition/run/310/s2/greedy/events.jsonl,310,greedy,2,0,3,a2j0,a2j0,False
artifacts/stage3_competition/run/310/s2/greedy/events.jsonl,310,greedy,2,2,1,a0j0,a0j0,False
artifacts/stage3_competition/run/310/s2/greedy/events.jsonl,310,greedy,2,4,0,,,False
artifacts/stage3_competition/run/310/s2/greedy/events.jsonl,310,greedy,2,5,0,,,False
artifacts/stage3_competition/run/310/s2/greedy/events.jsonl,310,greedy,2,6,3,a1j1,a1j1,False
artifacts/stage3_competition/run/310/s2/greedy/events.jsonl,310,greedy,2,8,1,a2j1,a2j1,False
artifacts/stage3_competition/run/310/s2/greedy/events.jsonl,310,greedy,2,10,0,,,False
artifacts/stage3_competition/run/310/s2/greedy/events.jsonl,310,greedy,2,11,0,,,False
artifacts/stage3_competition/run/310/s2/myopic/events.jsonl,310,myopic,2,0,3,a2j0,a2j0,False
artifacts/stage3_competition/run/310/s2/myopic/events.jsonl,310,myopic,2,2,1,a0j0,a0j0,False
artifacts/stage3_competition/run/310/s2/myopic/events.jsonl,310,myopic,2,4,0,,,False
artifacts/stage3_competition/run/310/s2/myopic/events.jsonl,310,myopic,2,5,0,,,False
artifacts/stage3_competition/run/310/s2/myopic/events.jsonl,310,myopic,2,6,3,a1j1,a1j1,False
artifacts/stage3_competition/run/310/s2/myopic/events.jsonl,310,myopic,2,8,1,a2j1,a2j1,False
artifacts/stage3_competition/run/310/s2/myopic/events.jsonl,310,myopic,2,10,0,,,False
artifacts/stage3_competition/run/310/s2/myopic/events.jsonl,310,myopic,2,11,0,,,False
artifacts/stage3_competition/run/310/s2/uncertainty/events.jsonl,310,uncertainty,2,0,3,a2j0,a2j0,False
artifacts/stage3_competition/run/310/s2/uncertainty/events.jsonl,310,uncertainty,2,2,1,a1j0,a1j0,False
artifacts/stage3_competition/run/310/s2/uncertainty/events.jsonl,310,uncertainty,2,4,0,,,False
artifacts/stage3_competition/run/310/s2/uncertainty/events.jsonl,310,uncertainty,2,5,0,,,False
artifacts/stage3_competition/run/310/s2/uncertainty/events.jsonl,310,uncertainty,2,6,3,a1j1,a1j1,False
artifacts/stage3_competition/run/310/s2/uncertainty/events.jsonl,310,uncertainty,2,8,1,a2j1,a2j1,False
artifacts/stage3_competition/run/310/s2/uncertainty/events.jsonl,310,uncertainty,2,10,0,,,False
artifacts/stage3_competition/run/310/s2/uncertainty/events.jsonl,310,uncertainty,2,11,0,,,False
artifacts/stage3_competition/run/311/s1/delay/events.jsonl,311,delay,1,0,3,a1j0,a0j0,True
artifacts/stage3_competition/run/311/s1/delay/events.jsonl,311,delay,1,1,2,a0j0,a0j0,False
artifacts/stage3_competition/run/311/s1/delay/events.jsonl,311,delay,1,2,1,a2j0,a2j0,False
artifacts/stage3_competition/run/311/s1/delay/events.jsonl,311,delay,1,3,0,,,False
artifacts/stage3_competition/run/311/s1/delay/events.jsonl,311,delay,1,4,0,,,False
artifacts/stage3_competition/run/311/s1/delay/events.jsonl,311,delay,1,5,0,,,False
artifacts/stage3_competition/run/311/s1/delay/events.jsonl,311,delay,1,6,3,a1j1,a0j1,True
artifacts/stage3_competition/run/311/s1/delay/events.jsonl,311,delay,1,7,2,a2j1,a2j1,False
artifacts/stage3_competition/run/311/s1/delay/events.jsonl,311,delay,1,8,1,a0j1,a0j1,False
artifacts/stage3_competition/run/311/s1/delay/events.jsonl,311,delay,1,9,0,,,False
artifacts/stage3_competition/run/311/s1/delay/events.jsonl,311,delay,1,10,0,,,False
artifacts/stage3_competition/run/311/s1/delay/events.jsonl,311,delay,1,11,0,,,False
artifacts/stage3_competition/run/311/s1/edf/events.jsonl,311,edf,1,0,3,a1j0,a0j0,True
artifacts/stage3_competition/run/311/s1/edf/events.jsonl,311,edf,1,1,2,a0j0,a0j0,False
artifacts/stage3_competition/run/311/s1/edf/events.jsonl,311,edf,1,2,1,a2j0,a2j0,False
artifacts/stage3_competition/run/311/s1/edf/events.jsonl,311,edf,1,3,0,,,False
artifacts/stage3_competition/run/311/s1/edf/events.jsonl,311,edf,1,4,0,,,False
artifacts/stage3_competition/run/311/s1/edf/events.jsonl,311,edf,1,5,0,,,False
artifacts/stage3_competition/run/311/s1/edf/events.jsonl,311,edf,1,6,3,a1j1,a0j1,True
artifacts/stage3_competition/run/311/s1/edf/events.jsonl,311,edf,1,7,2,a0j1,a0j1,False
artifacts/stage3_competition/run/311/s1/edf/events.jsonl,311,edf,1,8,1,a1j1,a1j1,False
artifacts/stage3_competition/run/311/s1/edf/events.jsonl,311,edf,1,9,0,,,False
artifacts/stage3_competition/run/311/s1/edf/events.jsonl,311,edf,1,10,0,,,False
artifacts/stage3_competition/run/311/s1/edf/events.jsonl,311,edf,1,11,0,,,False
artifacts/stage3_competition/run/311/s1/fcfs/events.jsonl,311,fcfs,1,0,3,a1j0,a0j0,True
artifacts/stage3_competition/run/311/s1/fcfs/events.jsonl,311,fcfs,1,1,2,a1j0,a1j0,False
artifacts/stage3_competition/run/311/s1/fcfs/events.jsonl,311,fcfs,1,2,1,a2j0,a2j0,False
artifacts/stage3_competition/run/311/s1/fcfs/events.jsonl,311,fcfs,1,3,0,,,False
artifacts/stage3_competition/run/311/s1/fcfs/events.jsonl,311,fcfs,1,4,0,,,False
artifacts/stage3_competition/run/311/s1/fcfs/events.jsonl,311,fcfs,1,5,0,,,False
artifacts/stage3_competition/run/311/s1/fcfs/events.jsonl,311,fcfs,1,6,3,a1j1,a0j1,True
artifacts/stage3_competition/run/311/s1/fcfs/events.jsonl,311,fcfs,1,7,2,a2j1,a2j1,False
artifacts/stage3_competition/run/311/s1/fcfs/events.jsonl,311,fcfs,1,8,0,,,False
artifacts/stage3_competition/run/311/s1/fcfs/events.jsonl,311,fcfs,1,9,0,,,False
artifacts/stage3_competition/run/311/s1/fcfs/events.jsonl,311,fcfs,1,10,0,,,False
artifacts/stage3_competition/run/311/s1/fcfs/events.jsonl,311,fcfs,1,11,0,,,False
artifacts/stage3_competition/run/311/s1/greedy/events.jsonl,311,greedy,1,0,3,a1j0,a0j0,True
artifacts/stage3_competition/run/311/s1/greedy/events.jsonl,311,greedy,1,1,2,a1j0,a1j0,False
artifacts/stage3_competition/run/311/s1/greedy/events.jsonl,311,greedy,1,2,1,a0j0,a0j0,False
artifacts/stage3_competition/run/311/s1/greedy/events.jsonl,311,greedy,1,3,0,,,False
artifacts/stage3_competition/run/311/s1/greedy/events.jsonl,311,greedy,1,4,0,,,False
artifacts/stage3_competition/run/311/s1/greedy/events.jsonl,311,greedy,1,5,0,,,False
artifacts/stage3_competition/run/311/s1/greedy/events.jsonl,311,greedy,1,6,3,a1j1,a0j1,True
artifacts/stage3_competition/run/311/s1/greedy/events.jsonl,311,greedy,1,7,2,a0j1,a0j1,False
artifacts/stage3_competition/run/311/s1/greedy/events.jsonl,311,greedy,1,8,1,a0j1,a0j1,False
artifacts/stage3_competition/run/311/s1/greedy/events.jsonl,311,greedy,1,9,0,,,False
artifacts/stage3_competition/run/311/s1/greedy/events.jsonl,311,greedy,1,10,0,,,False
artifacts/stage3_competition/run/311/s1/greedy/events.jsonl,311,greedy,1,11,0,,,False
artifacts/stage3_competition/run/311/s1/myopic/events.jsonl,311,myopic,1,0,3,a1j0,a0j0,True
artifacts/stage3_competition/run/311/s1/myopic/events.jsonl,311,myopic,1,1,2,a1j0,a1j0,False
artifacts/stage3_competition/run/311/s1/myopic/events.jsonl,311,myopic,1,2,1,a0j0,a0j0,False
artifacts/stage3_competition/run/311/s1/myopic/events.jsonl,311,myopic,1,3,0,,,False
artifacts/stage3_competition/run/311/s1/myopic/events.jsonl,311,myopic,1,4,0,,,False
artifacts/stage3_competition/run/311/s1/myopic/events.jsonl,311,myopic,1,5,0,,,False
artifacts/stage3_competition/run/311/s1/myopic/events.jsonl,311,myopic,1,6,3,a1j1,a0j1,True
artifacts/stage3_competition/run/311/s1/myopic/events.jsonl,311,myopic,1,7,2,a0j1,a0j1,False
artifacts/stage3_competition/run/311/s1/myopic/events.jsonl,311,myopic,1,8,1,a0j1,a0j1,False
artifacts/stage3_competition/run/311/s1/myopic/events.jsonl,311,myopic,1,9,0,,,False
artifacts/stage3_competition/run/311/s1/myopic/events.jsonl,311,myopic,1,10,0,,,False
artifacts/stage3_competition/run/311/s1/myopic/events.jsonl,311,myopic,1,11,0,,,False
artifacts/stage3_competition/run/311/s1/uncertainty/events.jsonl,311,uncertainty,1,0,3,a1j0,a0j0,True
artifacts/stage3_competition/run/311/s1/uncertainty/events.jsonl,311,uncertainty,1,1,2,a1j0,a1j0,False
artifacts/stage3_competition/run/311/s1/uncertainty/events.jsonl,311,uncertainty,1,2,1,a2j0,a2j0,False
artifacts/stage3_competition/run/311/s1/uncertainty/events.jsonl,311,uncertainty,1,3,0,,,False
artifacts/stage3_competition/run/311/s1/uncertainty/events.jsonl,311,uncertainty,1,4,0,,,False
artifacts/stage3_competition/run/311/s1/uncertainty/events.jsonl,311,uncertainty,1,5,0,,,False
artifacts/stage3_competition/run/311/s1/uncertainty/events.jsonl,311,uncertainty,1,6,3,a1j1,a0j1,True
